experiment,value,strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records
合约比例扰动,-0.1,hpso_contract_shift,4167947558.8028364,1389315852.9342787,292150593.5487575,1745812369.7722921,3336.8281350545044,-0.5214797734201811,2837.753779516392,302118179.168046,2776019164.007045,1824
合约比例扰动,0.0,hpso_contract_shift,4170577448.459815,1390192482.8199384,292498918.96513194,1745695377.5475345,3342.4198595471917,-0.5216746740924063,2825.4942306347352,302014566.01823854,2774978843.4798326,1824
合约比例扰动,0.1,hpso_contract_shift,4022532424.257502,1340844141.4191673,235829775.60168374,1598972634.086101,2864.6238780492426,-0.5029590642422254,2337.9859028325222,209506450.76945618,2627856970.0523047,1824
政策边界前样本,2026-01-01,hpso_policy_before,13963180622.396402,1551464513.5996003,1023634748.9320862,2930984401.648222,27567.288359809558,-0.8007449916863035,27324.407955516832,39564034359.24338,13174691607.839014,6048
政策边界后样本,2026-01-01,hpso_policy_after,21118317382.483353,1919847034.7712138,696062002.3320849,3685491679.0250196,14085.26820204041,-0.5865943650097126,13779.741253974144,37132644608.571754,19441950938.556087,7200
政策边界前样本,2026-02-01,hpso_policy_before,23026736294.570297,1771287407.2746382,938290826.9435124,3211866801.9411974,26266.25162807866,-0.7355397181652582,26032.663017756495,67889615192.9681,22119699709.297104,8736
政策边界后样本,2026-02-01,hpso_policy_after,11131849750.188786,1590264250.0269694,358578367.6437022,2043668711.8086724,5893.799713880328,-0.5521380851120566,5527.4786940802305,1523873165.5834908,9303448578.553816,4512
预测误差水平,0.8,hpso_forecast_error,3764896390.172496,1254965463.390832,173439761.0410776,1414628173.1244059,5345.073610939319,-0.5704059066080851,2216.8245312893355,190148598.6818746,2428508164.164963,1824
预测误差水平,1.0,hpso_forecast_error,4170577448.459815,1390192482.8199384,292498918.96513194,1745695377.5475345,3342.4198595471917,-0.5216746740924063,2825.4942306347352,302014566.01823854,2774978843.4798326,1824
预测误差水平,1.2,hpso_forecast_error,5378448142.647266,1792816047.5490887,304681037.0389586,2114213063.5591803,6387.187075692884,-0.5570102838727534,3386.995178396992,432753282.359214,3497787306.9321947,1824
